"Time (CET)","Day-ahead Total Load Forecast [MW] - Bulgaria (BG)","Actual Total Load [MW] - Bulgaria (BG)"
"01.01.2015 00:00 - 01.01.2015 01:00","N/A","5024"
"01.01.2015 01:00 - 01.01.2015 02:00","N/A","4773"
"01.01.2015 02:00 - 01.01.2015 03:00","N/A","4585"
"01.01.2015 03:00 - 01.01.2015 04:00","N/A","4440"
"01.01.2015 04:00 - 01.01.2015 05:00","N/A","4418"
"01.01.2015 05:00 - 01.01.2015 06:00","N/A","4393"
"01.01.2015 06:00 - 01.01.2015 07:00","N/A","4441"
"01.01.2015 07:00 - 01.01.2015 08:00","N/A","4637"
"01.01.2015 08:00 - 01.01.2015 09:00","N/A","4834"
"01.01.2015 09:00 - 01.01.2015 10:00","N/A","4983"
"01.01.2015 10:00 - 01.01.2015 11:00","N/A","5020"
"01.01.2015 11:00 - 01.01.2015 12:00","N/A","5000"
"01.01.2015 12:00 - 01.01.2015 13:00","N/A","4891"
"01.01.2015 13:00 - 01.01.2015 14:00","N/A","4760"
"01.01.2015 14:00 - 01.01.2015 15:00","N/A","4838"
"01.01.2015 15:00 - 01.01.2015 16:00","N/A","5072"
"01.01.2015 16:00 - 01.01.2015 17:00","N/A","5573"
"01.01.2015 17:00 - 01.01.2015 18:00","N/A","5816"
"01.01.2015 18:00 - 01.01.2015 19:00","N/A","5764"
"01.01.2015 19:00 - 01.01.2015 20:00","N/A","5667"
"01.01.2015 20:00 - 01.01.2015 21:00","N/A","5486"
"01.01.2015 21:00 - 01.01.2015 22:00","N/A","5442"
"01.01.2015 22:00 - 01.01.2015 23:00","N/A","5196"
"01.01.2015 23:00 - 02.01.2015 00:00","N/A","4811"
"02.01.2015 00:00 - 02.01.2015 01:00","N/A","4544"
"02.01.2015 01:00 - 02.01.2015 02:00","N/A","4356"
"02.01.2015 02:00 - 02.01.2015 03:00","N/A","4317"
"02.01.2015 03:00 - 02.01.2015 04:00","N/A","4315"
"02.01.2015 04:00 - 02.01.2015 05:00","N/A","4350"
"02.01.2015 05:00 - 02.01.2015 06:00","N/A","4444"
"02.01.2015 06:00 - 02.01.2015 07:00","N/A","4682"
"02.01.2015 07:00 - 02.01.2015 08:00","N/A","5118"
"02.01.2015 08:00 - 02.01.2015 09:00","N/A","5513"
"02.01.2015 09:00 - 02.01.2015 10:00","N/A","5653"
"02.01.2015 10:00 - 02.01.2015 11:00","N/A","5704"
"02.01.2015 11:00 - 02.01.2015 12:00","N/A","5612"
"02.01.2015 12:00 - 02.01.2015 13:00","N/A","5461"
"02.01.2015 13:00 - 02.01.2015 14:00","N/A","5350"
"02.01.2015 14:00 - 02.01.2015 15:00","N/A","5328"
"02.01.2015 15:00 - 02.01.2015 16:00","N/A","5520"
"02.01.2015 16:00 - 02.01.2015 17:00","N/A","5995"
"02.01.2015 17:00 - 02.01.2015 18:00","N/A","6217"
"02.01.2015 18:00 - 02.01.2015 19:00","N/A","6099"
"02.01.2015 19:00 - 02.01.2015 20:00","N/A","5905"
"02.01.2015 20:00 - 02.01.2015 21:00","N/A","5662"
"02.01.2015 21:00 - 02.01.2015 22:00","N/A","5575"
"02.01.2015 22:00 - 02.01.2015 23:00","N/A","5356"
"02.01.2015 23:00 - 03.01.2015 00:00","N/A","4910"
"03.01.2015 00:00 - 03.01.2015 01:00","N/A","4573"
"03.01.2015 01:00 - 03.01.2015 02:00","N/A","4388"
"03.01.2015 02:00 - 03.01.2015 03:00","N/A","4307"
"03.01.2015 03:00 - 03.01.2015 04:00","N/A","4251"
"03.01.2015 04:00 - 03.01.2015 05:00","N/A","4257"
"03.01.2015 05:00 - 03.01.2015 06:00","N/A","4332"
"03.01.2015 06:00 - 03.01.2015 07:00","N/A","4541"
"03.01.2015 07:00 - 03.01.2015 08:00","N/A","4988"
"03.01.2015 08:00 - 03.01.2015 09:00","N/A","5295"
