,CZ,DE,GR,RO,RS
2015-01-01,6392.75,45702.197916666664,6149.083333333333,,
2015-01-02,7137.625,53704.78125,6428.25,,5743.625
2015-01-03,6915.166666666667,50554.5625,6582.25,,5647.583333333333
2015-01-04,7048.708333333333,49079.0,6207.041666666667,,5495.708333333333
2015-01-05,8445.125,59413.645833333336,6857.291666666667,7007.0,5790.125
2015-01-06,8572.041666666666,59786.458333333336,6569.75,7646.875,5777.833333333333
2015-01-07,8888.25,64537.375,7386.75,7855.458333333333,5502.583333333333
2015-01-08,8865.125,61513.208333333336,7638.625,8151.041666666667,5887.625
2015-01-09,8569.083333333334,64658.145833333336,7330.916666666667,8100.791666666667,5799.916666666667
2015-01-10,7212.583333333333,55421.729166666664,6623.666666666667,7293.0,5576.541666666667
2015-01-11,7238.375,51888.145833333336,5871.416666666667,6556.75,5247.666666666667
2015-01-12,8545.916666666666,65509.291666666664,6544.833333333333,7501.5,5550.125
2015-01-13,8386.916666666666,64908.09375,6868.25,7561.458333333333,5634.083333333333
2015-01-14,8479.458333333334,64760.59375,6705.666666666667,7621.375,5595.458333333333
2015-01-15,8535.75,65867.86458333333,6654.375,7709.333333333333,5544.875
2015-01-16,8368.166666666666,63919.53125,6611.416666666667,7662.416666666667,5458.666666666667
2015-01-17,7282.541666666667,55375.03125,6374.083333333333,7238.416666666667,5340.708333333333
2015-01-18,7185.166666666667,51796.197916666664,6053.333333333333,6631.541666666667,5144.5
2015-01-19,8505.708333333334,64997.75,6283.666666666667,7382.791666666667,5296.5
2015-01-20,8591.375,66477.97916666667,6239.625,7648.041666666667,5124.0
2015-01-21,8626.375,66432.15625,6124.916666666667,7660.875,5220.666666666667
2015-01-22,8602.291666666666,66913.91666666667,6057.291666666667,7633.416666666667,5239.916666666667
2015-01-23,8533.291666666666,65841.58333333333,6002.166666666667,7598.125,5274.208333333333
2015-01-24,7535.375,57993.6875,6088.25,7115.916666666667,5227.25
2015-01-25,7463.666666666667,52710.65625,5527.625,6504.708333333333,5269.916666666667
2015-01-26,8669.333333333334,65875.33333333333,6292.916666666667,7424.958333333333,5571.208333333333
2015-01-27,8819.333333333334,66343.63541666667,6607.791666666667,7540.458333333333,5558.375
2015-01-28,8752.708333333334,67225.44791666667,6519.041666666667,7657.666666666667,5689.791666666667
2015-01-29,8684.208333333334,66524.38541666667,6576.083333333333,7529.208333333333,5566.416666666667
2015-01-30,8574.833333333334,65118.71875,6367.75,7452.75,5394.458333333333
2015-01-31,7536.333333333333,56047.177083333336,5968.375,6884.833333333333,5164.416666666667
2015-02-01,7384.291666666667,52098.208333333336,5223.0,6434.083333333333,5130.666666666667
2015-02-02,8699.25,66355.45833333333,5857.625,7232.0,5422.875
2015-02-03,8810.166666666666,67538.1875,6126.625,7526.958333333333,
2015-02-04,8900.291666666666,67763.17708333333,6164.583333333333,7625.583333333333,
2015-02-05,8954.958333333334,67646.80208333333,5910.75,7593.0,
2015-02-06,8872.041666666666,66554.29166666667,5926.333333333333,7805.041666666667,
2015-02-07,7803.083333333333,58131.135416666664,5712.791666666667,7309.333333333333,
2015-02-08,7682.708333333333,53377.875,5503.583333333333,6802.666666666667,
2015-02-09,8937.208333333334,66494.23958333333,6593.958333333333,7609.333333333333,
2015-02-10,8746.625,66656.22916666667,7064.083333333333,7772.125,
2015-02-11,8608.291666666666,66444.55208333333,7198.083333333333,7949.5,
2015-02-12,8624.5,66382.27083333333,7238.833333333333,7803.333333333333,
2015-02-13,8566.625,65102.458333333336,7087.666666666667,7646.625,
2015-02-14,7538.041666666667,56152.395833333336,6590.875,7017.375,
2015-02-15,7268.333333333333,51767.8125,6025.875,6620.458333333333,
2015-02-16,8462.25,63012.40625,6606.125,7629.333333333333,
2015-02-17,8586.0,65875.33333333333,6879.5,7795.75,
2015-02-18,8728.0,66227.70833333333,7123.375,7769.166666666667,
2015-02-19,8622.5,66499.82291666667,7115.375,7864.791666666667,
2015-02-20,8467.875,64879.59375,6824.666666666667,7578.958333333333,
2015-02-21,7379.458333333333,55653.635416666664,6273.5,6965.791666666667,
2015-02-22,7164.708333333333,51618.135416666664,5812.958333333333,6428.083333333333,
2015-02-23,8372.333333333334,65491.010416666664,5643.875,7295.416666666667,
2015-02-24,8391.291666666666,66028.86458333333,6227.416666666667,7314.375,
2015-02-25,8392.5,65141.9375,6150.166666666667,7387.083333333333,
2015-02-26,8380.75,65058.052083333336,6341.041666666667,7258.916666666667,
2015-02-27,8317.5,64521.020833333336,6420.333333333333,7150.375,
2015-02-28,7290.333333333333,55506.822916666664,6042.916666666667,6608.333333333333,
2015-03-01,7192.791666666667,51447.458333333336,5498.333333333333,6125.833333333333,
2015-03-02,8340.916666666666,63651.322916666664,5886.0,6919.458333333333,
2015-03-03,8348.791666666666,65069.53125,5815.916666666667,7174.166666666667,
2015-03-04,8362.541666666666,65511.145833333336,5825.333333333333,7120.166666666667,5159.208333333333
2015-03-05,8470.125,65101.21875,6122.916666666667,7367.0,5369.125
2015-03-06,8282.208333333334,63772.208333333336,6075.75,7600.083333333333,5396.791666666667
2015-03-07,7087.833333333333,53627.34375,5948.166666666667,6950.416666666667,5373.875
2015-03-08,6902.375,48976.958333333336,5613.916666666667,6292.083333333333,5299.5
2015-03-09,8064.875,61681.21875,6294.458333333333,7038.541666666667,5409.708333333333
2015-03-10,8102.708333333333,63572.583333333336,6422.791666666667,7353.75,5382.458333333333
2015-03-11,8313.083333333334,63360.802083333336,6326.208333333333,7204.25,5321.166666666667
2015-03-12,8296.208333333334,63397.760416666664,6267.541666666667,7167.708333333333,5517.708333333333
2015-03-13,8242.333333333334,62870.635416666664,6582.583333333333,7070.208333333333,5476.666666666667
2015-03-14,7194.916666666667,54893.291666666664,6046.708333333333,6627.291666666667,5232.75
2015-03-15,7017.583333333333,50455.885416666664,5528.583333333333,6120.0,5012.375
2015-03-16,8101.083333333333,62151.0,5969.125,6880.083333333333,5118.083333333333
2015-03-17,7995.416666666667,61925.583333333336,6073.666666666667,7032.125,5033.041666666667
2015-03-18,8012.708333333333,61527.197916666664,6299.708333333333,7143.291666666667,5090.708333333333
2015-03-19,8002.75,61956.177083333336,6389.458333333333,7274.0,5193.25
2015-03-20,7892.25,61383.833333333336,6335.166666666667,7304.583333333333,5177.208333333333
2015-03-21,6846.791666666667,54041.916666666664,5979.791666666667,6592.583333333333,4960.541666666667
2015-03-22,6870.416666666667,49111.135416666664,5742.833333333333,6002.708333333333,4785.416666666667
2015-03-23,7982.625,61439.6875,6283.333333333333,7036.333333333333,4906.541666666667
2015-03-24,7965.166666666667,62382.729166666664,6138.125,6996.125,4857.291666666667
2015-03-25,7886.375,61795.125,5664.75,6901.416666666667,4892.0
2015-03-26,7863.166666666667,62623.84375,6170.625,6806.708333333333,4706.541666666667
2015-03-27,7818.041666666667,62199.010416666664,6062.875,7022.458333333333,4707.916666666667
2015-03-28,6886.166666666667,53114.15625,5696.541666666667,6572.5,4901.166666666667
2015-03-29,6764.217391304348,49412.065217391304,5422.761904761905,5987.695652173913,
2015-03-30,7910.041666666667,62114.802083333336,5558.833333333333,6730.958333333333,
2015-03-31,8081.125,63775.145833333336,5581.041666666667,6880.583333333333,4804.416666666667
2015-04-01,8086.791666666667,63764.854166666664,5403.0,6885.541666666667,4904.416666666667
2015-04-02,8252.75,62293.458333333336,5435.541666666667,7082.625,4929.291666666667
2015-04-03,8024.25,48923.666666666664,5570.625,7110.416666666667,5040.875
2015-04-04,6913.416666666667,48759.03125,5569.333333333333,6540.75,4908.583333333333
2015-04-05,6629.333333333333,44954.416666666664,5328.708333333333,5947.625,4810.375
2015-04-06,6476.375,45991.270833333336,5533.583333333333,7196.375,5174.5
2015-04-07,7793.083333333333,60281.177083333336,5789.958333333333,7365.583333333333,5179.916666666667
2015-04-08,8021.958333333333,60766.125,6054.458333333333,7227.916666666667,5197.708333333333
2015-04-09,7774.75,59608.677083333336,6042.75,7121.833333333333,5076.291666666667
2015-04-10,7496.583333333333,58478.78125,5087.833333333333,6512.125,4511.083333333333
2015-04-11,6325.958333333333,50834.260416666664,5365.083333333333,5851.791666666667,4438.25
2015-04-12,6146.291666666667,46011.729166666664,4534.75,4787.875,3865.125
2015-04-13,7408.791666666667,59286.760416666664,4531.833333333333,4790.833333333333,3859.125
2015-04-14,7474.541666666667,60494.895833333336,5155.25,5861.25,4253.083333333333
2015-04-15,7378.625,60276.3125,5241.291666666667,6392.375,4329.75
2015-04-16,7314.333333333333,59824.875,5198.958333333333,6289.208333333333,4211.541666666667
2015-04-17,7360.875,59184.614583333336,5075.75,6145.541666666667,4091.375
2015-04-18,6443.875,50190.604166666664,4890.708333333333,6085.291666666667,4209.208333333333
2015-04-19,6264.291666666667,45778.458333333336,4658.291666666667,5547.0,4206.166666666667
2015-04-20,7357.958333333333,54440.114583333336,5198.833333333333,6457.708333333333,4420.291666666667
2015-04-21,7388.583333333333,59228.5625,5257.458333333333,6660.875,4382.375
2015-04-22,7380.958333333333,58295.833333333336,5333.708333333333,6684.083333333333,4315.666666666667
2015-04-23,7361.708333333333,57908.53125,5295.583333333333,6336.458333333333,4241.916666666667
2015-04-24,7172.333333333333,57402.072916666664,5270.0,6367.875,4152.208333333333
2015-04-25,6092.5,49482.0625,5159.25,5822.041666666667,3983.7083333333335
2015-04-26,6032.833333333333,44832.46875,4755.583333333333,5245.0,3790.0416666666665
2015-04-27,7149.583333333333,58902.135416666664,5165.583333333333,6033.375,3992.4166666666665
2015-04-28,7500.583333333333,59805.40625,5141.041666666667,6396.541666666667,3976.9583333333335
2015-04-29,7397.5,57028.84375,5225.458333333333,6523.916666666667,4215.375
2015-04-30,7173.416666666667,58837.885416666664,5164.041666666667,6432.875,4060.8333333333335
2015-05-01,6211.416666666667,44815.4375,4370.041666666667,5491.875,3559.4166666666665
2015-05-02,6017.666666666667,46301.479166666664,4857.75,5482.25,3685.7083333333335
2015-05-03,6071.5,45467.427083333336,4622.375,5048.125,3640.7916666666665
2015-05-04,7211.708333333333,55487.125,5189.333333333333,6056.041666666667,3796.75
2015-05-05,7140.166666666667,59932.1875,5325.782608695652,6236.083333333333,3943.25
2015-05-06,7325.458333333333,59275.958333333336,5525.333333333333,6209.916666666667,3811.625
2015-05-07,7051.416666666667,59323.5,5626.291666666667,6262.708333333333,3778.875
2015-05-08,6021.041666666667,57695.020833333336,5295.625,6180.666666666667,3737.3333333333335
2015-05-09,5881.958333333333,49478.989583333336,5161.375,5675.0,3616.5416666666665
2015-05-10,5919.25,44724.416666666664,4570.666666666667,5147.708333333333,3518.0
2015-05-11,7045.625,57991.291666666664,4925.0,5893.666666666667,3795.5
2015-05-12,7071.166666666667,59047.0625,4980.125,6084.333333333333,3768.125
2015-05-13,7167.25,58058.479166666664,5176.166666666667,6105.5,3888.5833333333335
2015-05-14,7200.458333333333,45414.833333333336,5318.25,6192.666666666667,3836.9583333333335
2015-05-15,7058.541666666667,51313.322916666664,5372.25,6070.25,3845.0
2015-05-16,6098.333333333333,47707.9375,5260.166666666667,5680.25,3674.2916666666665
2015-05-17,6010.291666666667,44226.46875,4920.291666666667,5119.916666666667,4251.541666666667
2015-05-18,7072.333333333333,57149.229166666664,5328.333333333333,5941.75,3733.3333333333335
2015-05-19,7235.583333333333,59528.229166666664,5420.625,6159.791666666667,3807.2916666666665
2015-05-20,7325.958333333333,58607.4375,5398.541666666667,6281.833333333333,3867.2916666666665
2015-05-21,7283.375,58548.177083333336,5499.958333333333,6112.125,3781.4583333333335
2015-05-22,7060.083333333333,57513.645833333336,5571.375,6279.375,3789.5416666666665
2015-05-23,6089.5,48423.666666666664,5188.5,5734.5,3653.7083333333335
2015-05-24,5953.916666666667,41834.84375,4806.541666666667,5172.416666666667,3572.5416666666665
2015-05-25,7093.583333333333,43021.90625,5227.166666666667,5998.708333333333,3746.625
2015-05-26,7291.958333333333,56402.40625,5437.041666666667,6219.0,3875.7916666666665
2015-05-27,7323.333333333333,58110.083333333336,5352.875,6200.25,4035.6666666666665
2015-05-28,7220.541666666667,58428.270833333336,5231.166666666667,6197.791666666667,4056.6666666666665
2015-05-29,7020.041666666667,57384.083333333336,5137.041666666667,6122.208333333333,3928.2083333333335
2015-05-30,5906.75,49366.302083333336,5058.0,5495.875,3770.5833333333335
2015-05-31,5762.75,44538.53125,4747.75,4931.083333333333,3502.375
2015-06-01,6905.666666666667,56548.833333333336,4894.458333333333,5165.583333333333,3686.9166666666665
2015-06-02,7094.5,59418.552083333336,5268.375,6143.0,3720.375
2015-06-03,7219.041666666667,58591.010416666664,5403.541666666667,6412.625,3811.5
2015-06-04,7101.833333333333,49863.604166666664,5572.5,6397.875,3905.125
2015-06-05,6968.958333333333,54605.489583333336,5474.0,6403.375,3873.8333333333335
2015-06-06,5872.958333333333,48930.166666666664,5216.541666666667,5837.375,3761.9583333333335
2015-06-07,5854.375,43856.229166666664,4798.25,5257.416666666667,3546.7083333333335
2015-06-08,6951.666666666667,57227.083333333336,5262.166666666667,6170.208333333333,3754.7083333333335
2015-06-09,7016.625,58908.885416666664,5467.25,6376.125,3771.25
2015-06-10,7035.833333333333,59095.510416666664,5489.0,6377.291666666667,3769.7916666666665
2015-06-11,7033.5,58538.510416666664,5526.583333333333,6374.791666666667,3846.0
2015-06-12,6999.666666666667,58191.010416666664,5570.583333333333,6412.833333333333,3906.75
2015-06-13,6054.791666666667,49314.625,5547.625,5959.541666666667,3806.4583333333335
2015-06-14,5853.958333333333,43966.71875,5348.541666666667,5409.291666666667,3652.3333333333335
2015-06-15,6966.5,56431.90625,6140.958333333333,6318.25,3873.8333333333335
2015-06-16,7010.208333333333,57465.59375,6419.291666666667,6403.166666666667,3791.2083333333335
2015-06-17,6995.458333333333,57638.0,6351.875,6269.833333333333,3744.4166666666665
2015-06-18,7058.375,58273.291666666664,5717.958333333333,6225.916666666667,3758.7083333333335
2015-06-19,6950.25,57653.447916666664,5461.166666666667,6215.166666666667,3753.8333333333335
2015-06-20,5837.916666666667,48261.104166666664,5368.875,5713.958333333333,3607.2916666666665
2015-06-21,5831.375,44445.0625,4908.791666666667,5165.708333333333,3473.6666666666665
2015-06-22,7006.375,56860.75,5215.083333333333,5920.708333333333,3693.3333333333335
2015-06-23,7130.708333333333,58495.885416666664,5470.541666666667,6109.833333333333,3757.375
2015-06-24,7070.583333333333,59085.375,5660.375,6162.25,3746.7083333333335
2015-06-25,6996.041666666667,58341.416666666664,5804.958333333333,6302.375,3716.5833333333335
2015-06-26,6887.708333333333,57265.197916666664,5793.833333333333,6188.25,3821.125
2015-06-27,5873.166666666667,49048.864583333336,5322.208333333333,5656.75,3641.9583333333335
2015-06-28,5802.958333333333,43718.208333333336,5093.208333333333,5127.791666666667,3458.9583333333335
2015-06-29,6881.666666666667,56707.572916666664,5591.333333333333,5929.0,3700.75
2015-06-30,7036.458333333333,57603.510416666664,5674.791666666667,6254.125,3720.3333333333335
2015-07-01,7106.375,59314.041666666664,5428.291666666667,6313.75,3763.75
2015-07-02,7135.75,60899.739583333336,5413.333333333333,6349.25,3832.625
2015-07-03,6987.541666666667,59708.885416666664,5631.625,6309.458333333333,3826.25
2015-07-04,5896.916666666667,50673.21875,5426.0,5876.125,3746.0833333333335
2015-07-05,5654.541666666667,46091.53125,5229.916666666667,5284.375,3661.25
2015-07-06,5841.083333333333,58634.020833333336,6059.166666666667,6309.583333333333,4003.4583333333335
2015-07-07,7016.875,59927.40625,6390.458333333333,6752.5,4067.625
2015-07-08,7157.541666666667,59836.135416666664,6573.125,6969.375,4210.583333333333
2015-07-09,6998.583333333333,58798.510416666664,6843.875,6798.916666666667,3883.2916666666665
2015-07-10,6682.666666666667,57366.083333333336,6706.541666666667,6492.458333333333,3766.7083333333335
2015-07-11,5682.5,48773.71875,6071.125,5919.416666666667,3665.5
2015-07-12,5769.666666666667,45096.770833333336,5671.166666666667,5313.916666666667,3538.9583333333335
2015-07-13,6900.458333333333,57775.479166666664,6508.875,6255.875,3791.0
2015-07-14,7016.583333333333,59262.4375,6812.583333333333,6480.875,3818.5833333333335
2015-07-15,6976.0,59143.447916666664,6774.708333333333,6457.541666666667,3955.625
2015-07-16,7031.833333333333,59285.78125,6889.5,6584.125,4113.583333333333
2015-07-17,7012.666666666667,58798.15625,6834.541666666667,6686.875,4149.458333333333
2015-07-18,6030.208333333333,48894.25,6454.666666666667,6336.125,4054.7083333333335
2015-07-19,5872.458333333333,44805.802083333336,6146.458333333333,5793.416666666667,3921.0416666666665
2015-07-20,6943.666666666667,57307.572916666664,7003.458333333333,6593.166666666667,4250.708333333333
2015-07-21,7088.333333333333,59673.28125,7498.583333333333,6928.333333333333,4200.916666666667
2015-07-22,7138.416666666667,59803.5,7514.166666666667,7039.541666666667,4285.875
2015-07-23,7084.333333333333,58634.625,7352.0,7056.583333333333,4314.583333333333
2015-07-24,6933.083333333333,57504.322916666664,7330.333333333333,6998.875,4260.5
2015-07-25,5923.541666666667,50138.375,6977.5,6471.416666666667,4039.3333333333335
2015-07-26,5595.875,44007.34375,6613.333333333333,5818.833333333333,3630.25
2015-07-27,6478.708333333333,56353.916666666664,7524.125,6604.5,3842.4166666666665
2015-07-28,6549.416666666667,57848.364583333336,7925.583333333333,6841.041666666667,3819.0
2015-07-29,6544.916666666667,57436.916666666664,8101.333333333333,6868.0,3981.0
2015-07-30,6512.791666666667,57402.197916666664,8219.375,6927.833333333333,3843.8333333333335
2015-07-31,6370.291666666667,55594.75,8012.291666666667,6615.458333333333,3735.9166666666665
2015-08-01,5556.125,47502.354166666664,7097.083333333333,5954.375,3679.8333333333335
2015-08-02,5446.416666666667,43340.489583333336,6500.041666666667,5469.166666666667,3519.2916666666665
2015-08-03,6306.791666666667,55892.854166666664,7122.916666666667,6338.958333333333,3837.9583333333335
2015-08-04,6484.708333333333,57445.625,7127.166666666667,6610.166666666667,3901.125
2015-08-05,6540.083333333333,56540.78125,7081.208333333333,6760.791666666667,4040.875
2015-08-06,6591.958333333333,57721.052083333336,6792.583333333333,6743.333333333333,4054.1666666666665
2015-08-07,6507.541666666667,56636.96875,6639.0,6794.125,4067.875
2015-08-08,5804.041666666667,49546.677083333336,6031.833333333333,6233.375,3889.3333333333335
2015-08-09,5713.958333333333,44904.15625,5676.166666666667,5699.583333333333,3679.4166666666665
2015-08-10,6809.458333333333,56211.5,6295.541666666667,6469.875,3950.4166666666665
2015-08-11,6942.625,57905.083333333336,6439.291666666667,6655.458333333333,4020.2916666666665
2015-08-12,7071.166666666667,57805.416666666664,6582.041666666667,6720.416666666667,4108.416666666667
2015-08-13,7025.916666666667,58072.760416666664,6583.916666666667,6702.125,4189.458333333333
2015-08-14,6867.291666666667,57098.822916666664,6438.0,6652.083333333333,4162.875
2015-08-15,5763.291666666667,48054.8125,5637.333333333333,5834.625,4001.4166666666665
2015-08-16,5765.625,44330.145833333336,5773.333333333333,5693.0,3681.0416666666665
2015-08-17,6935.875,56128.15625,6500.375,6521.458333333333,3734.0
2015-08-18,6921.416666666667,56797.40625,6561.333333333333,6436.916666666667,3768.25
2015-08-19,6868.833333333333,56498.375,6570.416666666667,6279.75,3706.375
2015-08-20,6831.208333333333,56820.520833333336,6621.083333333333,6223.375,3711.25
2015-08-21,6735.166666666667,55935.489583333336,6280.125,6148.25,3731.0416666666665
2015-08-22,5645.75,48182.927083333336,5638.541666666667,5715.333333333333,3585.75
2015-08-23,5695.333333333333,44555.927083333336,5092.166666666667,5127.916666666667,3424.125
2015-08-24,6912.708333333333,57265.0625,5766.458333333333,5991.083333333333,3681.3333333333335
2015-08-25,7027.833333333333,58711.8125,5921.791666666667,6226.958333333333,3767.4583333333335
2015-08-26,7031.333333333333,58832.552083333336,5909.958333333333,6306.083333333333,3830.2916666666665
2015-08-27,7053.625,58954.416666666664,5936.541666666667,6327.833333333333,3929.375
2015-08-28,7015.583333333333,57521.364583333336,5984.625,6440.541666666667,3950.8333333333335
2015-08-29,5985.458333333333,48939.729166666664,5634.333333333333,5912.583333333333,3855.0833333333335
2015-08-30,5923.875,44984.677083333336,5403.541666666667,5633.791666666667,3657.4166666666665
2015-08-31,7166.875,58163.25,6256.958333333333,6648.291666666667,4067.5
2015-09-01,7223.416666666667,59801.65625,6517.708333333333,6781.958333333333,4193.958333333333
2015-09-02,7027.125,58750.760416666664,6509.666666666667,6793.916666666667,4143.0
2015-09-03,7006.75,58344.833333333336,6642.166666666667,6838.0,4094.8333333333335
2015-09-04,6845.833333333333,57671.385416666664,6699.5,6807.916666666667,4041.5
2015-09-05,5809.791666666667,49534.28125,6352.333333333333,6313.875,3771.0
2015-09-06,5721.625,45796.84375,6084.75,5633.458333333333,3513.2083333333335
2015-09-07,6954.125,57607.78125,6618.166666666667,6211.125,3648.8333333333335
2015-09-08,7047.333333333333,58930.333333333336,6260.625,6179.583333333333,3681.7916666666665
2015-09-09,7126.166666666667,58400.666666666664,5741.25,6274.083333333333,3708.5416666666665
2015-09-10,7099.25,58524.333333333336,5707.583333333333,6453.333333333333,3897.125
2015-09-11,7065.291666666667,58061.260416666664,5813.416666666667,6426.166666666667,3827.375
2015-09-12,5941.958333333333,49845.052083333336,5197.083333333333,5946.166666666667,3687.4583333333335
2015-09-13,5828.458333333333,45552.760416666664,4758.666666666667,5311.25,3552.7916666666665
2015-09-14,7051.666666666667,58650.197916666664,5380.708333333333,5906.333333333333,3736.0
2015-09-15,7164.708333333333,60304.1875,5543.708333333333,6261.416666666667,3807.8333333333335
2015-09-16,7172.458333333333,60416.979166666664,5543.833333333333,6306.75,3857.1666666666665
2015-09-17,7212.458333333333,60769.541666666664,5673.166666666667,6430.666666666667,3989.9583333333335
2015-09-18,7051.541666666667,58365.4375,5743.791666666667,6522.291666666667,4017.1666666666665
2015-09-19,5961.958333333333,49430.427083333336,5468.875,6064.333333333333,3828.0416666666665
2015-09-20,5911.125,45456.65625,4963.083333333333,5402.083333333333,3544.8333333333335
2015-09-21,7053.833333333333,57947.854166666664,5196.583333333333,6172.375,3685.375
2015-09-22,7140.5,59817.0,5196.083333333333,6316.708333333333,3808.2083333333335
2015-09-23,7210.333333333333,59772.791666666664,5264.583333333333,6339.166666666667,3902.4166666666665
2015-09-24,7139.833333333333,59747.84375,5276.916666666667,6452.875,3810.7083333333335
2015-09-25,7055.0,58894.052083333336,5247.375,6366.75,3781.7083333333335
2015-09-26,5988.25,50538.322916666664,5011.75,5954.833333333333,3721.4166666666665
2015-09-27,5764.25,45629.625,4589.791666666667,5355.666666666667,3673.4583333333335
2015-09-28,5940.166666666667,58635.3125,5006.75,6362.708333333333,4041.1666666666665
2015-09-29,7115.083333333333,60252.291666666664,5055.708333333333,6520.666666666667,4205.291666666667
2015-09-30,7393.833333333333,59966.708333333336,4918.666666666667,6493.166666666667,4247.708333333333
2015-10-01,7467.333333333333,58813.895833333336,4865.416666666667,6352.166666666667,4107.125
2015-10-02,7360.083333333333,57796.052083333336,4889.666666666667,6372.666666666667,4028.875
2015-10-03,6190.25,45997.572916666664,4840.833333333333,5867.083333333333,3881.7916666666665
2015-10-04,6155.166666666667,45055.25,4587.541666666667,5299.0,3745.0416666666665
2015-10-05,7328.75,57550.270833333336,5010.916666666667,6270.208333333333,3917.2916666666665
2015-10-06,7463.625,60926.385416666664,5141.625,6433.291666666667,4024.75
2015-10-07,7535.583333333333,60702.75,5230.916666666667,6466.833333333333,4073.5833333333335
2015-10-08,7531.875,60477.916666666664,5208.75,6659.125,4337.625
2015-10-09,7416.041666666667,59308.520833333336,5175.5,6679.125,4351.375
2015-10-10,6469.875,50423.729166666664,4904.083333333333,6267.833333333333,4308.166666666667
2015-10-11,6396.083333333333,46313.916666666664,4412.458333333333,5938.5,4183.708333333333
2015-10-12,7822.791666666667,59191.46875,4905.125,6988.791666666667,4533.666666666667
2015-10-13,8135.125,62109.375,5010.458333333333,7123.0,4513.458333333333
2015-10-14,8193.791666666666,63489.052083333336,5049.041666666667,6856.125,4512.125
2015-10-15,8127.125,63390.760416666664,5055.708333333333,6951.5,4511.25
2015-10-16,7846.125,61960.427083333336,5102.166666666667,6937.625,4503.875
2015-10-17,6647.958333333333,52482.520833333336,4915.666666666667,6423.833333333333,4273.375
2015-10-18,6577.625,48155.677083333336,4598.0,5674.0,4119.875
2015-10-19,7857.125,60842.947916666664,5029.75,6638.0,4398.25
2015-10-20,8031.541666666667,62122.895833333336,5175.458333333333,6985.541666666667,4577.791666666667
2015-10-21,8020.083333333333,61935.677083333336,5213.541666666667,6924.125,4662.125
2015-10-22,7961.125,62325.3125,5285.375,7050.458333333333,4803.791666666667
2015-10-23,7769.958333333333,60642.625,5243.083333333333,6941.791666666667,4764.5
2015-10-24,6873.5,51907.854166666664,5029.125,6451.25,4620.541666666667
2015-10-25,6641.36,47903.82,4669.416666666667,5752.08,4787.32
2015-10-26,7731.833333333333,59946.21875,5011.333333333333,6582.125,4738.0
2015-10-27,7849.0,61819.510416666664,5195.75,6849.0,4725.041666666667
2015-10-28,7112.75,62332.46875,4739.5,7023.0,4794.791666666667
